data;preco_brl_arroba;preco_bezerro_brl;preco_soja_brl;preco_milho_brl;Boi com 20@/Garrote;Boi com 20@/soja;Boi com 20@/milho;milho(80)+soja(20)
01/11/2020;276.95;2298.61;165.26;80.77;2.409717176902563;33.516882488200416;68.57744211959887;3082.0149999999994
01/12/2020;271.6;2581.16;160.67;77.17;2.1044801562088367;33.80842721105372;70.39004794609303;2960.191
01/01/2021;273.7;2400.89;154.7;81.79;2.2799878378434664;35.38461538461539;66.92749724905245;3050.1130000000003
01/02/2021;301.0;2675.83;168.65;83.95;2.249769230481757;35.6952268010673;71.70935080405003;3185.905
01/03/2021;299.8;2823.05;168.96;85.59;2.123943961318432;35.48768939393939;70.05491295712116;3231.429
01/04/2021;316.1;3100.83;173.86;93.9;2.0388089640515603;36.36259059012999;67.32694355697551;3480.746
01/05/2021;314.2;3202.53;177.12;99.84;1.9621986367028568;35.47877145438121;62.940705128205124;3657.6
01/06/2021;313.0;3216.58;173.99;99.23;1.946166425209384;35.97907925742859;63.08576035473143;3623.7850000000003
01/07/2021;316.2;3108.22;163.81;91.25;2.034605015089022;38.605701727611255;69.30410958904109;3353.711
01/08/2021;316.2;2856.73;167.41;101.47;2.2137198825230247;37.77552117555702;62.32383955849019;3646.745
01/09/2021;305.5;2853.03;165.84;93.72;2.1415828084527675;36.84273999035214;65.19419547588562;3431.0280000000002
01/10/2021;292.25;2785.93;170.95;91.76;2.0980426643885526;34.19128400116993;63.69877942458587;3407.312
01/11/2021;263.95;2717.18;171.21;86.97;1.9428230739222283;30.83347935284154;60.69909164079568;3280.8749999999995
01/12/2021;321.6;2905.24;166.71;84.98;2.2139306907518828;38.58196868814108;75.68839726994587;3202.542
01/01/2022;334.5;2994.19;174.91;92.01;2.234327146907845;38.2482419530044;72.70948809911965;3436.1629999999996
01/02/2022;333.9;2886.51;188.67;97.4;2.3135204797489006;35.39513436158372;68.56262833675564;3657.1319999999996
01/03/2022;339.85;2820.24;203.2;97.2;2.4100785748730607;33.4498031496063;69.92798353909465;3733.16
01/04/2022;341.6;2880.5;178.54;92.04;2.3718104495747268;38.2659348045256;74.22859626249456;3457.2920000000004
01/05/2022;328.9;2691.32;194.81;87.87;2.4441537981362305;33.76623376623377;74.86058950722658;3437.0649999999996
01/06/2022;314.6;2523.78;189.89;85.8;2.493085768173137;33.13497287903523;73.33333333333334;3354.2439999999997
01/07/2022;314.75;2656.43;194.02;83.16;2.3697217694424473;32.445108751675086;75.6974506974507;3306.884
01/08/2022;326.65;2625.28;189.22;82.64;2.4884964651389563;34.52594863122292;79.05372700871249;3266.12
01/09/2022;314.75;2530.0;189.11;83.66;2.4881422924901186;33.2875046269367;75.24503944537413;3292.738
01/10/2022;290.1;2391.98;180.5;84.14;2.4256055652639237;32.14404432132964;68.95650106964582;3257.3379999999997
01/11/2022;281.35;2437.46;186.84;85.11;2.3085507044218163;30.11667737101263;66.1144401362942;3318.741
01/12/2022;290.7;2332.92;180.65;86.0;2.4921557533048713;32.18378079158594;67.6046511627907;3307.8399999999997
01/01/2023;286.85;2568.69;183.56;86.09;2.2334341629390857;31.25408585748529;66.63956324776396;3326.5389999999998
01/02/2023;291.1;2395.44;173.75;85.76;2.4304511905954644;33.50791366906475;67.88712686567163;3262.792
01/03/2023;273.85;2432.03;168.75;86.11;2.252028141100233;32.456296296296294;63.604691673440946;3244.1369999999997
01/04/2023;296.85;2514.21;155.93;82.4;2.361377927858055;38.07477714359007;72.0509708737864;3073.288
01/05/2023;273.35;2343.23;139.97;64.5;2.3331043047417452;39.05836965063942;84.75968992248062;2505.982
01/06/2023;243.9;2225.1;133.77;53.9;2.1922610219765404;36.46557524108544;90.50092764378479;2188.2419999999997
01/07/2023;259.05;2234.62;141.31;55.53;2.3185150047882863;36.66407189866251;93.30091842247434;2273.987
